"AgeGroup","Year","n","share_no_trips","avg_distance_km","sd_distance_km","avg_hours_away","sd_hours_away","avg_first_trip_h","sd_first_trip_h","n_trippers","avg_last_trip_h","sd_last_trip_h"
"66+",2018,1250,0.2944,15.228679994747,38.2492185891772,3.32349333333333,3.89328412827047,10.8473167044596,2.69403281707901,882,15.5574829931973,3.67252576815269
"10-17",2019,676,0.0931952662721894,13.3772189269674,26.3772037829916,7.97551775147929,3.95223260068157,8.20513866231648,1.97256265214891,613,17.0003262642741,2.71829363089201
"18-30",2019,988,0.107287449392713,27.4444130054479,42.657080643105,7.99072199730094,4.85861975505516,9.05621693121693,3.23844270028395,882,18.0072751322751,3.45923291931911
"31-55",2019,2000,0.0945,36.6341949555902,52.462412020075,8.40876666666667,4.55360510105728,8.2830848518314,2.76253737304786,1811,17.5694091662065,3.04206777203709
"56-65",2019,777,0.136422136422136,31.029240648623,47.0042023679956,7.21001716001716,4.91455988699565,8.80054644808743,2.98541252199554,671,17.1495529061103,3.33847038967857
"66+",2019,1339,0.312920089619119,16.9777968547935,37.0537014426899,3.29948966890714,3.92370398282224,10.9434782608696,2.62123921723765,920,15.7456702898551,3.56303145062044
"10-17",2020,654,0.105504587155963,12.7835168436039,26.5535493140493,7.4941131498471,4.24947761296536,8.71239316239316,2.7646516719523,585,17.0904273504274,2.98775906827974
"18-30",2020,1113,0.106019766397125,26.5647978531824,43.1069597984001,7.54991015274034,5.03736959314873,9.72353433835846,3.50901242391192,995,18.168810720268,3.54483316187927
"31-55",2020,2108,0.0915559772296015,32.5762096946923,45.7119462921671,8.26261859582543,4.70322241294866,8.56536118363795,2.91080912164214,1915,17.6607136640557,3.1830747725523
"56-65",2020,731,0.129958960328317,33.9200958281006,56.0047516863887,7.10412676698586,4.87715998993982,8.97929769392034,3.10009939097095,636,17.1445754716981,3.38382336335691
"66+",2020,1104,0.261775362318841,16.1484058257918,32.2427839287007,3.51083937198068,4.01659958010857,10.9246421267894,2.742252841444,815,15.6804294478528,3.54254393716094
"10-17",2021,524,0.124045801526718,12.9514885384533,27.7085814084716,7.45209923664122,4.41698104194129,8.90686274509804,2.89117485262083,459,17.4142701525054,2.97849852900179
"18-30",2021,879,0.113765642775882,25.2052331431933,40.8819884704427,7.64599924156238,5.02865889280499,9.58451005562687,3.41777267596294,779,18.2120239623449,3.44080852320223
"31-55",2021,1739,0.0799309948246118,31.2103105027211,46.0223441060889,8.15463868123443,4.67915511592466,8.77067708333333,3.12369804327014,1600,17.63375,3.13823712335026
"56-65",2021,641,0.102964118564743,32.896396272393,49.3642779303207,7.26310452418097,4.93777441744401,9.06434782608696,3.26522157392304,575,17.1611304347826,3.47362940121529
"66+",2021,1037,0.257473481195757,16.8091030929493,39.6766841657183,3.68119575699132,4.03341596189642,10.7698051948052,2.50526736635865,770,15.7274675324675,3.63983491608155
"10-17",2022,712,0.106741573033708,13.1745786476027,22.7518615042798,7.77387640449438,4.23908500504148,8.44496855345912,2.43287091907808,636,17.1477987421384,2.93955830369952
"18-30",2022,1203,0.104738154613466,26.8741313906484,47.6481911688634,8.22212524244943,4.93805089901752,9.27831940575673,3.35793817605521,1077,18.4623645930053,3.44711993602162
"31-55",2022,2059,0.107819329771734,33.2373239709261,49.2308662205355,8.20759268253197,4.77742994516749,8.42982217383415,2.86825301774991,1837,17.6292959535475,3.17043232514947
"56-65",2022,895,0.131843575418994,33.1240446857754,51.694682696316,7.31957169459963,4.90981197900647,8.72404547404548,2.90638009946739,777,17.1552123552124,3.3323487057286
"66+",2022,1609,0.268489745183344,14.2670602887693,28.9254967510751,3.6340687797804,3.89083752115806,10.8677428490513,2.51294988284911,1177,15.8356414613424,3.50164550815253
